,index,Date,State,Residents.Initiated,Month,Year,Population_Dec2021,Residents.Initiated.Rate,Prioritization?,Date_prioritized,Phase_state,Mono.Initiated.Coverage,Days,Days_since_last
52,5036,2022-02-06,North Carolina,23081.0,2,2022,29439.0,0.7840279900811848,yes,2021-03-01,4,0.7840279900811848,371,7.0
53,5037,2022-02-13,North Carolina,23081.0,2,2022,29439.0,0.7840279900811848,yes,2021-03-01,4,0.7840279900811848,378,7.0
54,5038,2022-02-20,North Carolina,23081.0,2,2022,29439.0,0.7840279900811848,yes,2021-03-01,4,0.7840279900811848,385,7.0
55,5039,2022-02-27,North Carolina,23373.0,2,2022,29439.0,0.7939468052583308,yes,2021-03-01,4,0.7939468052583308,392,7.0
56,5040,2022-03-06,North Carolina,23373.0,3,2022,29439.0,0.7939468052583308,yes,2021-03-01,4,0.7939468052583308,399,7.0
57,5041,2022-03-13,North Carolina,23373.0,3,2022,29439.0,0.7939468052583308,yes,2021-03-01,4,0.7939468052583308,406,7.0
58,5042,2022-03-20,North Carolina,23373.0,3,2022,29439.0,0.7939468052583308,yes,2021-03-01,4,0.7939468052583308,413,7.0
59,5043,2022-03-27,North Carolina,23373.0,3,2022,29439.0,0.7939468052583308,yes,2021-03-01,4,0.7939468052583308,420,7.0
60,5044,2022-04-03,North Carolina,23373.0,4,2022,29439.0,0.7939468052583308,yes,2021-03-01,4,0.7939468052583308,427,7.0
61,5045,2022-04-10,North Carolina,23373.0,4,2022,29439.0,0.7939468052583308,yes,2021-03-01,4,0.7939468052583308,434,7.0
62,5046,2022-04-17,North Carolina,23373.0,4,2022,29439.0,0.7939468052583308,yes,2021-03-01,4,0.7939468052583308,441,7.0
63,5047,2022-04-24,North Carolina,23373.0,4,2022,29439.0,0.7939468052583308,yes,2021-03-01,4,0.7939468052583308,448,7.0
64,5048,2022-05-01,North Carolina,46746.0,5,2022,29439.0,1.5878936105166617,yes,2021-03-01,4,1.5878936105166617,455,7.0
65,5049,2022-05-08,North Carolina,46746.0,5,2022,29439.0,1.5878936105166617,yes,2021-03-01,4,1.5878936105166617,462,7.0
66,5050,2022-05-15,North Carolina,46746.0,5,2022,29439.0,1.5878936105166617,yes,2021-03-01,4,1.5878936105166617,469,7.0
67,5051,2022-05-22,North Carolina,23373.0,5,2022,29439.0,0.7939468052583308,yes,2021-03-01,4,,476,7.0
68,5052,2022-05-29,North Carolina,47244.0,5,2022,29439.0,1.6048099459900131,yes,2021-03-01,4,1.6048099459900131,483,7.0
69,5053,2022-06-05,North Carolina,23622.0,6,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,490,7.0
